hscode,flow,fiscal_year,grain,top_partner,top_partner_share_pct,second_partner,second_partner_share_pct,third_partner,third_partner_share_pct,exposure_note,source_url,source_date
1511,import,2025-26,chapter_proxy,Indonesia,54.0,Malaysia,30.0,Thailand,10.0,Chapter 15 proxy data. Highly concentrated in South East Asia due to agroclimatic suitability for oil palm.,https://eidb.dgft.gov.in/,2026-06-15
1507,import,2025-26,chapter_proxy,Argentina,54.0,Brazil,40.0,USA,2.0,Chapter 15 proxy data. Concentrated in South American soy belt.,https://eidb.dgft.gov.in/,2026-06-15
1512,import,2025-26,chapter_proxy,Russia,45.0,Ukraine,30.0,Argentina,15.0,Chapter 15 proxy data. Highly exposed to the Black Sea region; vulnerable to geopolitical disruption.,https://eidb.dgft.gov.in/,2026-06-15
"0201","export","2025-26","chapter_proxy","SAUDI ARAB","51.3","IRAQ","42.6","HONG KONG","6.1","Chapter 02 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0202","export","2025-26","chapter_proxy","SAUDI ARAB","51.3","IRAQ","42.6","HONG KONG","6.1","Chapter 02 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0203","export","2025-26","chapter_proxy","SAUDI ARAB","51.3","IRAQ","42.6","HONG KONG","6.1","Chapter 02 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0204","export","2025-26","chapter_proxy","SAUDI ARAB","51.3","IRAQ","42.6","HONG KONG","6.1","Chapter 02 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0205","export","2025-26","chapter_proxy","SAUDI ARAB","51.3","IRAQ","42.6","HONG KONG","6.1","Chapter 02 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0206","export","2025-26","chapter_proxy","SAUDI ARAB","51.3","IRAQ","42.6","HONG KONG","6.1","Chapter 02 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0207","export","2025-26","chapter_proxy","SAUDI ARAB","51.3","IRAQ","42.6","HONG KONG","6.1","Chapter 02 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0209","export","2025-26","chapter_proxy","SAUDI ARAB","51.3","IRAQ","42.6","HONG KONG","6.1","Chapter 02 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0210","export","2025-26","chapter_proxy","SAUDI ARAB","51.3","IRAQ","42.6","HONG KONG","6.1","Chapter 02 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0301","export","2025-26","chapter_proxy","CHINA P RP","68.7","JAPAN","20.6","RUSSIA","8.0","Chapter 03 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0302","export","2025-26","chapter_proxy","CHINA P RP","68.7","JAPAN","20.6","RUSSIA","8.0","Chapter 03 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0303","export","2025-26","chapter_proxy","CHINA P RP","68.7","JAPAN","20.6","RUSSIA","8.0","Chapter 03 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0304","export","2025-26","chapter_proxy","CHINA P RP","68.7","JAPAN","20.6","RUSSIA","8.0","Chapter 03 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0305","export","2025-26","chapter_proxy","CHINA P RP","68.7","JAPAN","20.6","RUSSIA","8.0","Chapter 03 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0306","export","2025-26","chapter_proxy","CHINA P RP","68.7","JAPAN","20.6","RUSSIA","8.0","Chapter 03 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0307","export","2025-26","chapter_proxy","CHINA P RP","68.7","JAPAN","20.6","RUSSIA","8.0","Chapter 03 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0308","export","2025-26","chapter_proxy","CHINA P RP","68.7","JAPAN","20.6","RUSSIA","8.0","Chapter 03 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0309","export","2025-26","chapter_proxy","CHINA P RP","68.7","JAPAN","20.6","RUSSIA","8.0","Chapter 03 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
"0801","import","2025-26","chapter_proxy","U S A","93.7","IRAQ","6.3","","","Chapter 08 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_import","2026-06-10"
"0801","export","2025-26","chapter_proxy","IRAQ","100.0","","","","","Chapter 08 proxy data. Calculated from top 10 chapters of 12 major partners.","https://tradestat.commerce.gov.in/eidb/country_wise_all_commodities_export","2026-06-10"
