financial_year,report_year,group_name,previous_usd_mn,current_usd_mn,growth_pct,share_pct,report_month
2009-2010,2010,PLANTATION,0,1105.95,,0.62,March
2009-2010,2010,AGRI & ALLIED PRODUCTS,0,12971.25,,7.26,March
2009-2010,2010,MARINE PRODUCTS,0,2095.28,,1.17,March
2009-2010,2010,ORES & MINERALS,0,7217.25,,4.04,March
2009-2010,2010,LEATHER & LEATHER MANUFACTURES,0,3381.34,,1.89,March
2009-2010,2010,GEMS & JEWELLERY,0,28720.69,,16.07,March
2009-2010,2010,SPORTS GOODS,0,141,,0.08,March
2009-2010,2010,CHEMICALS & RELATED PRODUCTS,0,17214.89,,9.63,March
2009-2010,2010,PLASTIC & RUBBER ARTICLES,0,3341.39,,1.87,March
2009-2010,2010,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,0,2183.98,,1.22,March
2009-2010,2010,PAPER & RELATED PRODUCTS,0,1181.16,,0.66,March
2009-2010,2010,BASE METALS,0,12279.41,,6.87,March
2009-2010,2010,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,0,764.61,,0.43,March
2009-2010,2010,ELECTORONICS ITEMS,0,5602.07,,3.13,March
2009-2010,2010,MACHINERY,0,10034.33,,5.61,March
2009-2010,2010,OFFICE EQUIPMENTS,0,57.61,,0.03,March
2009-2010,2010,TRANSPORT EQUIPMENTS,0,10209.07,,5.71,March
2009-2010,2010,PROJECT GOODS,0,103.05,,0.06,March
2009-2010,2010,TEXTILES & ALLIED PRODUCTS,0,23271,,13.02,March
2009-2010,2010,PETROLEUM CRUDE & PRODUCTS,0,28185.93,,15.77,March
2009-2010,2010,OTHERS,0,8690.14,,4.86,March
2010-2011,2011,PLANTATION,1105.95,1521.1,37.54,0.61,March
2010-2011,2011,AGRI & ALLIED PRODUCTS,12971.25,17762.51,36.94,7.11,March
2010-2011,2011,MARINE PRODUCTS,2095.28,2622.72,25.17,1.05,March
2010-2011,2011,ORES & MINERALS,7217.25,7097.88,-1.65,2.84,March
2010-2011,2011,LEATHER & LEATHER MANUFACTURES,3381.34,3913.82,15.75,1.57,March
2010-2011,2011,GEMS & JEWELLERY,28720.69,42346.29,47.44,16.95,March
2010-2011,2011,SPORTS GOODS,141,166.09,17.8,0.07,March
2010-2011,2011,CHEMICALS & RELATED PRODUCTS,17214.89,20827.98,20.99,8.34,March
2010-2011,2011,PLASTIC & RUBBER ARTICLES,3341.39,4701.18,40.7,1.88,March
2010-2011,2011,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2183.98,2596.58,18.89,1.04,March
2010-2011,2011,PAPER & RELATED PRODUCTS,1181.16,1625.22,37.59,0.65,March
2010-2011,2011,BASE METALS,12279.41,19323,57.36,7.73,March
2010-2011,2011,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,764.61,1062.56,38.97,0.43,March
2010-2011,2011,ELECTORONICS ITEMS,5602.07,8455.47,50.93,3.38,March
2010-2011,2011,MACHINERY,10034.33,13065.99,30.21,5.23,March
2010-2011,2011,OFFICE EQUIPMENTS,57.61,52.61,-8.69,0.02,March
2010-2011,2011,TRANSPORT EQUIPMENTS,10209.07,16424.93,60.89,6.57,March
2010-2011,2011,PROJECT GOODS,103.05,85.13,-17.39,0.03,March
2010-2011,2011,TEXTILES & ALLIED PRODUCTS,23271,28665.97,23.18,11.47,March
2010-2011,2011,PETROLEUM CRUDE & PRODUCTS,28185.93,36370.11,29.04,14.56,March
2010-2011,2011,OTHERS,8690.14,21128.4,143.13,8.46,March
2011-2012,2012,PLANTATION,1521.1,1894.64,24.56,0.62,March
2011-2012,2012,AGRI & ALLIED PRODUCTS,17762.51,27881.08,56.97,9.11,March
2011-2012,2012,MARINE PRODUCTS,2622.72,3443.63,31.3,1.13,March
2011-2012,2012,ORES & MINERALS,7097.88,6570.26,-7.43,2.15,March
2011-2012,2012,LEATHER & LEATHER MANUFACTURES,3913.82,4806.63,22.81,1.57,March
2011-2012,2012,GEMS & JEWELLERY,42346.29,46374.13,9.51,15.16,March
2011-2012,2012,SPORTS GOODS,166.09,210.34,26.64,0.07,March
2011-2012,2012,CHEMICALS & RELATED PRODUCTS,20827.98,27013.9,29.7,8.83,March
2011-2012,2012,PLASTIC & RUBBER ARTICLES,4701.18,6189.73,31.66,2.02,March
2011-2012,2012,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2596.58,2962.34,14.09,0.97,March
2011-2012,2012,PAPER & RELATED PRODUCTS,1625.22,1783.41,9.73,0.58,March
2011-2012,2012,BASE METALS,19323,21218.9,9.81,6.94,March
2011-2012,2012,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1062.56,1380.55,29.93,0.45,March
2011-2012,2012,ELECTORONICS ITEMS,8455.47,9075.55,7.33,2.97,March
2011-2012,2012,MACHINERY,13065.99,16017.66,22.59,5.24,March
2011-2012,2012,OFFICE EQUIPMENTS,52.61,60.5,15,0.02,March
2011-2012,2012,TRANSPORT EQUIPMENTS,16424.93,20932.45,27.44,6.84,March
2011-2012,2012,PROJECT GOODS,85.13,83.23,-2.23,0.03,March
2011-2012,2012,TEXTILES & ALLIED PRODUCTS,28665.97,34136.64,19.08,11.16,March
2011-2012,2012,PETROLEUM CRUDE & PRODUCTS,36370.11,56716.72,55.94,18.54,March
2011-2012,2012,OTHERS,21128.4,17211.61,-18.54,5.63,March
2012-2013,2013,PLANTATION,1894.64,1840.71,-2.85,0.61,March
2012-2013,2013,AGRI & ALLIED PRODUCTS,27881.08,32655.55,17.12,10.87,March
2012-2013,2013,MARINE PRODUCTS,3443.63,3464.08,0.59,1.15,March
2012-2013,2013,ORES & MINERALS,6570.26,3681.36,-43.97,1.23,March
2012-2013,2013,LEATHER & LEATHER MANUFACTURES,4806.63,4883.92,1.61,1.63,March
2012-2013,2013,GEMS & JEWELLERY,46374.13,42988.49,-7.3,14.31,March
2012-2013,2013,SPORTS GOODS,210.34,206.62,-1.77,0.07,March
2012-2013,2013,CHEMICALS & RELATED PRODUCTS,27013.9,28915.55,7.04,9.63,March
2012-2013,2013,PLASTIC & RUBBER ARTICLES,6189.73,6178.95,-0.17,2.06,March
2012-2013,2013,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2962.34,3176.73,7.24,1.06,March
2012-2013,2013,PAPER & RELATED PRODUCTS,1783.41,1935.81,8.55,0.64,March
2012-2013,2013,BASE METALS,21218.9,21455.99,1.12,7.14,March
2012-2013,2013,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1380.55,1518.6,10,0.51,March
2012-2013,2013,ELECTORONICS ITEMS,9075.55,8253.02,-9.06,2.75,March
2012-2013,2013,MACHINERY,16017.66,16408.46,2.44,5.46,March
2012-2013,2013,OFFICE EQUIPMENTS,60.5,51.9,-14.21,0.02,March
2012-2013,2013,TRANSPORT EQUIPMENTS,20932.45,19242.04,-8.08,6.41,March
2012-2013,2013,PROJECT GOODS,83.23,145.97,75.38,0.05,March
2012-2013,2013,TEXTILES & ALLIED PRODUCTS,34136.64,32885.46,-3.67,10.95,March
2012-2013,2013,PETROLEUM CRUDE & PRODUCTS,56716.72,60859.81,7.3,20.26,March
2012-2013,2013,OTHERS,17211.61,9651.57,-43.92,3.21,March
2013-2014,2014,PLANTATION,1840.71,1625.05,-11.72,0.52,March
2013-2014,2014,AGRI & ALLIED PRODUCTS,32655.55,32953.58,0.91,10.48,March
2013-2014,2014,MARINE PRODUCTS,3464.08,5016.46,44.81,1.6,March
2013-2014,2014,ORES & MINERALS,3681.36,3583.86,-2.65,1.14,March
2013-2014,2014,LEATHER & LEATHER MANUFACTURES,4883.92,5722.54,17.17,1.82,March
2013-2014,2014,GEMS & JEWELLERY,42988.49,41389.07,-3.72,13.16,March
2013-2014,2014,SPORTS GOODS,206.62,236.45,14.44,0.08,March
2013-2014,2014,CHEMICALS & RELATED PRODUCTS,28915.55,30793.62,6.5,9.79,March
2013-2014,2014,PLASTIC & RUBBER ARTICLES,6178.95,6860.02,11.02,2.18,March
2013-2014,2014,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,3176.73,3600.58,13.34,1.15,March
2013-2014,2014,PAPER & RELATED PRODUCTS,1935.81,2099.81,8.47,0.67,March
2013-2014,2014,BASE METALS,21455.99,22365.63,4.24,7.11,March
2013-2014,2014,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1518.6,1562.96,2.92,0.5,March
2013-2014,2014,ELECTORONICS ITEMS,8253.02,7842.8,-4.97,2.49,March
2013-2014,2014,MACHINERY,16408.46,17361.42,5.81,5.52,March
2013-2014,2014,OFFICE EQUIPMENTS,51.9,30.89,-40.49,0.01,March
2013-2014,2014,TRANSPORT EQUIPMENTS,19242.04,22164.67,15.19,7.05,March
2013-2014,2014,PROJECT GOODS,145.97,47.35,-67.56,0.02,March
2013-2014,2014,TEXTILES & ALLIED PRODUCTS,32885.46,36967.56,12.41,11.76,March
2013-2014,2014,PETROLEUM CRUDE & PRODUCTS,60859.81,63177.46,3.81,20.09,March
2013-2014,2014,OTHERS,9651.57,9003.52,-6.71,2.86,March
2014-2015,2015,PLANTATION,1625.05,1502.88,-7.52,0.48,March
2014-2015,2015,AGRI & ALLIED PRODUCTS,32953.58,30147.31,-8.52,9.71,March
2014-2015,2015,MARINE PRODUCTS,5016.46,5510.49,9.85,1.78,March
2014-2015,2015,ORES & MINERALS,3583.86,2410.19,-32.75,0.78,March
2014-2015,2015,LEATHER & LEATHER MANUFACTURES,5722.54,6195.21,8.26,2,March
2014-2015,2015,GEMS & JEWELLERY,41389.07,41266.07,-0.3,13.3,March
2014-2015,2015,SPORTS GOODS,236.45,274.5,16.09,0.09,March
2014-2015,2015,CHEMICALS & RELATED PRODUCTS,30793.62,31731.23,3.04,10.22,March
2014-2015,2015,PLASTIC & RUBBER ARTICLES,6860.02,6615.17,-3.57,2.13,March
2014-2015,2015,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,3600.58,4042.51,12.27,1.3,March
2014-2015,2015,PAPER & RELATED PRODUCTS,2099.81,2180.67,3.85,0.7,March
2014-2015,2015,BASE METALS,22365.63,24742.75,10.63,7.97,March
2014-2015,2015,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1562.96,1686.34,7.89,0.54,March
2014-2015,2015,ELECTORONICS ITEMS,7842.8,6260.73,-20.17,2.02,March
2014-2015,2015,MACHINERY,17361.42,19453.69,12.05,6.27,March
2014-2015,2015,OFFICE EQUIPMENTS,30.89,54.77,77.31,0.02,March
2014-2015,2015,TRANSPORT EQUIPMENTS,22164.67,26636.37,20.17,8.58,March
2014-2015,2015,PROJECT GOODS,47.35,36.59,-22.73,0.01,March
2014-2015,2015,TEXTILES & ALLIED PRODUCTS,36967.56,37140.74,0.47,11.97,March
2014-2015,2015,PETROLEUM CRUDE & PRODUCTS,63177.46,56794.15,-10.1,18.3,March
2014-2015,2015,OTHERS,9003.52,5656.13,-37.18,1.82,March
2015-2016,2016,PLANTATION,1502.88,1562.44,3.96,0.6,March
2015-2016,2016,AGRI & ALLIED PRODUCTS,30147.31,24522.02,-18.66,9.35,March
2015-2016,2016,MARINE PRODUCTS,5510.49,4767.51,-13.48,1.82,March
2015-2016,2016,ORES & MINERALS,2410.19,2014.92,-16.4,0.77,March
2015-2016,2016,LEATHER & LEATHER MANUFACTURES,6195.21,5554.46,-10.34,2.12,March
2015-2016,2016,GEMS & JEWELLERY,41266.07,39284.27,-4.8,14.98,March
2015-2016,2016,SPORTS GOODS,274.5,227.72,-17.04,0.09,March
2015-2016,2016,CHEMICALS & RELATED PRODUCTS,31731.23,32164.51,1.37,12.26,March
2015-2016,2016,PLASTIC & RUBBER ARTICLES,6615.17,6420.06,-2.95,2.45,March
2015-2016,2016,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,4042.51,3880.25,-4.01,1.48,March
2015-2016,2016,PAPER & RELATED PRODUCTS,2180.67,2347.88,7.67,0.9,March
2015-2016,2016,BASE METALS,24742.75,18504.98,-25.21,7.06,March
2015-2016,2016,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1686.34,1640.46,-2.72,0.63,March
2015-2016,2016,ELECTORONICS ITEMS,6260.73,5959.52,-4.81,2.27,March
2015-2016,2016,MACHINERY,19453.69,18945.72,-2.61,7.22,March
2015-2016,2016,OFFICE EQUIPMENTS,54.77,89.5,63.41,0.03,March
2015-2016,2016,TRANSPORT EQUIPMENTS,26636.37,22463.7,-15.67,8.56,March
2015-2016,2016,PROJECT GOODS,36.59,29.01,-20.71,0.01,March
2015-2016,2016,TEXTILES & ALLIED PRODUCTS,37140.74,35953.31,-3.2,13.71,March
2015-2016,2016,PETROLEUM CRUDE & PRODUCTS,56794.15,30582.64,-46.15,11.66,March
2015-2016,2016,OTHERS,5656.13,5376.2,-4.95,2.05,March
2016-2017,2017,PLANTATION,1562.44,1611.74,3.16,0.58,March
2016-2017,2017,AGRI & ALLIED PRODUCTS,24522.02,24549.19,0.11,8.9,March
2016-2017,2017,MARINE PRODUCTS,4767.51,5903.06,23.82,2.14,March
2016-2017,2017,ORES & MINERALS,2014.92,3255.61,61.58,1.18,March
2016-2017,2017,LEATHER & LEATHER MANUFACTURES,5554.46,5308.3,-4.43,1.92,March
2016-2017,2017,GEMS & JEWELLERY,39284.27,43412.76,10.51,15.74,March
2016-2017,2017,SPORTS GOODS,227.72,224.83,-1.27,0.08,March
2016-2017,2017,CHEMICALS & RELATED PRODUCTS,32164.51,32779.3,1.91,11.88,March
2016-2017,2017,PLASTIC & RUBBER ARTICLES,6420.06,6438.38,0.29,2.33,March
2016-2017,2017,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,3880.25,4087.58,5.34,1.48,March
