financial_year,report_year,group_name,previous_usd_mn,current_usd_mn,growth_pct,share_pct,report_month
2009-2010,2010,PLANTATION,0,458.33,,0.16,March
2009-2010,2010,AGRI & ALLIED PRODUCTS,0,10695.95,,3.71,March
2009-2010,2010,MARINE PRODUCTS,0,63.87,,0.02,March
2009-2010,2010,ORES & MINERALS,0,14331.37,,4.97,March
2009-2010,2010,LEATHER & LEATHER MANUFACTURES,0,531.68,,0.18,March
2009-2010,2010,GEMS & JEWELLERY,0,46303.08,,16.06,March
2009-2010,2010,SPORTS GOODS,0,114.38,,0.04,March
2009-2010,2010,CHEMICALS & RELATED PRODUCTS,0,24515.82,,8.5,March
2009-2010,2010,PLASTIC & RUBBER ARTICLES,0,7079.98,,2.46,March
2009-2010,2010,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,0,1325.36,,0.46,March
2009-2010,2010,PAPER & RELATED PRODUCTS,0,4604.02,,1.6,March
2009-2010,2010,BASE METALS,0,16101.26,,5.58,March
2009-2010,2010,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,0,2604.66,,0.9,March
2009-2010,2010,ELECTORONICS ITEMS,0,22659.02,,7.86,March
2009-2010,2010,MACHINERY,0,24220.24,,8.4,March
2009-2010,2010,OFFICE EQUIPMENTS,0,59.08,,0.02,March
2009-2010,2010,TRANSPORT EQUIPMENTS,0,12025.2,,4.17,March
2009-2010,2010,PROJECT GOODS,0,4704,,1.63,March
2009-2010,2010,TEXTILES & ALLIED PRODUCTS,0,3112.62,,1.08,March
2009-2010,2010,PETROLEUM CRUDE & PRODUCTS,0,87135.86,,30.22,March
2009-2010,2010,OTHERS,0,5727.12,,1.99,March
2010-2011,2011,PLANTATION,458.33,749.85,63.61,0.2,March
2010-2011,2011,AGRI & ALLIED PRODUCTS,10695.95,10755.94,0.56,2.91,March
2010-2011,2011,MARINE PRODUCTS,63.87,94.45,47.88,0.03,March
2010-2011,2011,ORES & MINERALS,14331.37,16204.24,13.07,4.38,March
2010-2011,2011,LEATHER & LEATHER MANUFACTURES,531.68,731.76,37.63,0.2,March
2010-2011,2011,GEMS & JEWELLERY,46303.08,77021.21,66.34,20.83,March
2010-2011,2011,SPORTS GOODS,114.38,156.38,36.72,0.04,March
2010-2011,2011,CHEMICALS & RELATED PRODUCTS,24515.82,29517.16,20.4,7.98,March
2010-2011,2011,PLASTIC & RUBBER ARTICLES,7079.98,9824.13,38.76,2.66,March
2010-2011,2011,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,1325.36,1728.45,30.41,0.47,March
2010-2011,2011,PAPER & RELATED PRODUCTS,4604.02,5708.33,23.99,1.54,March
2010-2011,2011,BASE METALS,16101.26,21149.9,31.36,5.72,March
2010-2011,2011,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,2604.66,3205.71,23.08,0.87,March
2010-2011,2011,ELECTORONICS ITEMS,22659.02,28497.35,25.77,7.71,March
2010-2011,2011,MACHINERY,24220.24,29765.68,22.9,8.05,March
2010-2011,2011,OFFICE EQUIPMENTS,59.08,70.04,18.55,0.02,March
2010-2011,2011,TRANSPORT EQUIPMENTS,12025.2,11843.76,-1.51,3.2,March
2010-2011,2011,PROJECT GOODS,4704,6151.81,30.78,1.66,March
2010-2011,2011,TEXTILES & ALLIED PRODUCTS,3112.62,3807.3,22.32,1.03,March
2010-2011,2011,PETROLEUM CRUDE & PRODUCTS,87135.86,105964.31,21.61,28.66,March
2010-2011,2011,OTHERS,5727.12,6821.37,19.11,1.84,March
2011-2012,2012,PLANTATION,749.85,1028.38,37.14,0.21,March
2011-2012,2012,AGRI & ALLIED PRODUCTS,10755.94,14062.52,30.74,2.87,March
2011-2012,2012,MARINE PRODUCTS,94.45,118.4,25.37,0.02,March
2011-2012,2012,ORES & MINERALS,16204.24,25731.74,58.8,5.26,March
2011-2012,2012,LEATHER & LEATHER MANUFACTURES,731.76,813.17,11.13,0.17,March
