fiscal_year,country,export_usd_mn,import_usd_mn,total_trade_usd_mn,trade_balance_usd_mn,export_share_pct,import_share_pct,total_trade_share_pct,export_rank,import_rank,total_trade_rank,previous_fiscal_year,previous_export_usd_mn,previous_import_usd_mn,previous_total_trade_usd_mn,previous_trade_balance_usd_mn,export_yoy_pct,import_yoy_pct,data_status
2025-2026,CHINA P RP,19471.08,131633.36,151104.44,-112162.28,4.41,16.99,12.42,3,1,1,2024-2025,14252.21,113447.34,127699.55,-99195.14,36.62,16.03,provisional
2025-2026,U S A,87316.01,52900.09,140216.1,34415.92,19.77,6.83,11.52,1,4,2,2024-2025,86514.28,45625.2,132139.48,40889.09,0.93,15.94,provisional
2025-2026,U ARAB EMTS,37359.11,63894.47,101253.59,-26535.36,8.46,8.24,8.32,2,2,3,2024-2025,36638.02,63403.01,100041.03,-26764.99,1.97,0.78,provisional
2025-2026,RUSSIA,4493.51,55369.62,59863.13,-50876.12,1.02,7.14,4.92,29,3,4,2024-2025,4881.3,63811.44,68692.74,-58930.14,-7.94,-13.23,provisional
2025-2026,SAUDI ARAB,10281.13,30790.28,41071.4,-20509.15,2.33,3.97,3.38,9,5,5,2024-2025,11756.65,30121.12,41877.78,-18364.47,-12.55,2.22,provisional
2025-2026,SINGAPORE,11863.66,24240.58,36104.24,-12376.91,2.69,3.13,2.97,6,9,6,2024-2025,12976.15,21282.12,34258.27,-8305.98,-8.57,13.9,provisional
2025-2026,HONG KONG,8081.83,24331.02,32412.85,-16249.19,1.83,3.14,2.66,10,7,7,2024-2025,6066.71,19729.22,25795.94,-13662.51,33.22,23.32,provisional
2025-2026,GERMANY,11526.04,19433.72,30959.76,-7907.67,2.61,2.51,2.54,7,13,8,2024-2025,10628.61,18947.62,29576.24,-8319.01,8.44,2.57,provisional
2025-2026,IRAQ,2958.2,24558.5,27516.7,-21600.3,0.67,3.17,2.26,36,6,9,2024-2025,3272.52,28891.2,32163.72,-25618.67,-9.6,-15,provisional
2025-2026,JAPAN,6039.5,21436.87,27476.37,-15397.37,1.37,2.77,2.26,21,10,10,2024-2025,6249.32,18915.34,25164.66,-12666.02,-3.36,13.33,provisional
2025-2026,KOREA RP,6012.04,21354.67,27366.7,-15342.63,1.36,2.76,2.25,22,11,11,2024-2025,5819.64,21064.21,26883.85,-15244.57,3.31,1.38,provisional
2025-2026,SWITZERLAND,1213.37,24275.11,25488.48,-23061.74,0.27,3.13,2.09,52,8,12,2024-2025,1475.41,21795.8,23271.21,-20320.39,-17.76,11.38,provisional
2025-2026,U K,13444.2,11682.43,25126.62,1761.77,3.04,1.51,2.07,5,18,13,2024-2025,14549.95,8582.78,23132.73,5967.18,-7.6,36.11,provisional
2025-2026,INDONESIA,4491.36,20292.32,24783.68,-15800.96,1.02,2.62,2.04,30,12,14,2024-2025,5380.18,22778.03,28158.21,-17397.85,-16.52,-10.91,provisional
2025-2026,NETHERLAND,17500.71,5786.3,23287.01,11714.41,3.96,0.75,1.91,4,32,15,2024-2025,22763.41,4994.81,27758.23,17768.6,-23.12,15.85,provisional
2025-2026,THAILAND,5058.6,16426.96,21485.56,-11368.36,1.15,2.12,1.77,26,14,16,2024-2025,4812.58,14267.08,19079.67,-9454.5,5.11,15.14,provisional
2025-2026,AUSTRALIA,7284.18,13811.35,21095.53,-6527.17,1.65,1.78,1.73,13,16,17,2024-2025,8581.38,15526.46,24107.84,-6945.08,-15.12,-11.05,provisional
2025-2026,MALAYSIA,6825.55,14177.02,21002.57,-7351.47,1.55,1.83,1.73,18,15,18,2024-2025,7316.85,12538.68,19855.53,-5221.83,-6.71,13.07,provisional
2025-2026,VIETNAM SOC REP,6665.86,11615.23,18281.09,-4949.37,1.51,1.5,1.5,19,19,19,2024-2025,5428.92,10333.95,15762.87,-4905.03,22.78,12.4,provisional
2025-2026,SOUTH AFRICA,7008.41,8560.7,15569.12,-1552.29,1.59,1.1,1.28,16,22,20,2024-2025,7462.28,10547.45,18009.73,-3085.18,-6.08,-18.84,provisional
2025-2026,FRANCE,7102.46,8398.95,15501.41,-1296.5,1.61,1.08,1.27,14,23,21,2024-2025,7960.06,7231.39,15191.45,728.67,-10.77,16.15,provisional
2025-2026,BRAZIL,7022.1,8050.64,15072.74,-1028.54,1.59,1.04,1.24,15,24,22,2024-2025,6771.01,5435.01,12206.02,1336.01,3.71,48.13,provisional
2025-2026,ITALY,7790.22,6663.13,14453.34,1127.09,1.76,0.86,1.19,11,28,23,2024-2025,7727.33,6014.4,13741.73,1712.93,0.81,10.79,provisional
2025-2026,QATAR,1620.33,12292.6,13912.93,-10672.27,0.37,1.59,1.14,44,17,24,2024-2025,1682.48,12463.79,14146.26,-10781.31,-3.69,-1.37,provisional
2025-2026,BELGIUM,6598.64,6410.77,13009.41,187.87,1.49,0.83,1.07,20,29,25,2024-2025,6320.14,6589.99,12910.13,-269.85,4.41,-2.72,provisional
2025-2026,BANGLADESH PR,10587.38,1780.26,12367.64,8807.11,2.4,0.23,1.02,8,48,26,2024-2025,11485.26,2005.04,13490.3,9480.22,-7.82,-11.21,provisional
2025-2026,OMAN,4021.48,7166.39,11187.87,-3144.91,0.91,0.92,0.92,32,26,27,2024-2025,4065.35,6548.73,10614.08,-2483.38,-1.08,9.43,provisional
2025-2026,TAIWAN,1948.79,8880.9,10829.68,-6932.11,0.44,1.15,0.89,41,20,28,2024-2025,1781.7,10006.95,11788.65,-8225.24,9.38,-11.25,provisional
2025-2026,PERU,1149.13,8870.47,10019.6,-7721.33,0.26,1.14,0.82,54,21,29,2024-2025,1002.26,4981.09,5983.35,-3978.82,14.65,78.08,provisional
2025-2026,KUWAIT,1651.74,7917.44,9569.18,-6265.71,0.37,1.02,0.79,43,25,30,2024-2025,1934.81,8285.74,10220.54,-6350.93,-14.63,-4.44,provisional
2025-2026,NEPAL,7438.9,1941.87,9380.76,5497.03,1.68,0.25,0.77,12,46,31,2024-2025,7385.98,1288.83,8674.82,6097.15,0.72,50.67,provisional
2025-2026,SPAIN,6961.24,2234.18,9195.42,4727.05,1.58,0.29,0.76,17,43,32,2024-2025,4763.75,2217.7,6981.45,2546.05,46.13,0.74,provisional
2025-2026,NIGERIA,3132.34,5895.84,9028.18,-2763.5,0.71,0.76,0.74,35,31,33,2024-2025,2945.5,4192.22,7137.72,-1246.72,6.34,40.64,provisional
2025-2026,TANZANIA REP,5420.1,3602.61,9022.71,1817.5,1.23,0.46,0.74,25,36,34,2024-2025,4789.61,3850.64,8640.24,938.97,13.16,-6.44,provisional
