fiscal_year,export_usd_mn,import_usd_mn,total_trade_usd_mn,trade_balance_usd_mn,export_yoy_pct,import_yoy_pct,previous_fiscal_year,previous_export_usd_mn,previous_import_usd_mn,previous_total_trade_usd_mn,previous_trade_balance_usd_mn
2010-2011,249814.48,369769.14,619583.62,-119954.66,39.77,28.23,2009-2010,178733.91,288372.76,467106.67,-109638.85
2011-2012,305963.28,489319.54,795282.82,-183356.26,22.48,32.33,2010-2011,249814.48,369769.14,619583.62,-119954.66
2012-2013,300400.01,490736.67,791136.68,-190336.66,-1.82,0.29,2011-2012,305963.28,489319.54,795282.82,-183356.26
2013-2014,314403.26,450199.29,764602.55,-135796.03,4.66,-8.26,2012-2013,300400.01,490736.67,791136.68,-190336.66
2014-2015,310338.32,447964.58,758302.9,-137626.26,-1.29,-0.5,2013-2014,314403.26,450199.29,764602.55,-135796.03
2015-2016,262281.74,381007.77,643289.51,-118726.03,-15.49,-14.95,2014-2015,310338.32,447964.58,758302.9,-137626.26
2016-2017,274480.28,384356.86,658837.14,-109876.58,4.65,0.88,2015-2016,262281.74,381007.77,643289.51,-118726.03
2017-2018,303484.47,465580.29,769064.76,-162095.82,10.57,21.13,2016-2017,274480.28,384356.86,658837.14,-109876.58
2018-2019,330077.75,514078.4,844156.15,-184000.65,8.76,10.42,2017-2018,303484.47,465580.29,769064.76,-162095.82
2019-2020,313354.03,474709.33,788063.36,-161355.3,-5.07,-7.66,2018-2019,330077.75,514078.4,844156.15,-184000.65
2020-2021,291806.69,394435.95,686242.64,-102629.26,-6.88,-16.91,2019-2020,313354.03,474709.33,788063.36,-161355.3
2021-2022,422003.11,613051.5,1035054.61,-191048.39,44.62,55.42,2020-2021,291806.69,394435.95,686242.64,-102629.26
2022-2023,451065.07,715968.86,1167033.93,-264903.79,6.89,16.79,2021-2022,422003.11,613051.5,1035054.61,-191048.39
2023-2024,437111.44,675429.83,1112541.27,-238318.39,-3.09,-5.66,2022-2023,451065.07,715968.86,1167033.93,-264903.79
2024-2025,437666,721200.07,1158866.07,-283534.07,0.13,6.78,2023-2024,437111.44,675429.83,1112541.27,-238318.39
2025-2026,441705.46,774977.93,1216683.39,-333272.47,0.92,7.46,2024-2025,437666,721200.07,1158866.07,-283534.07
