financial_year,inr_per_usd_avg,inr_per_usd_end
1984-1985,11.8886,12.43
1985-1986,12.2349,12.3061
1986-1987,12.7782,12.8882
1987-1988,12.9658,13.0318
1988-1989,14.4817,15.663
1989-1990,16.6492,17.3248
1990-1991,17.9428,19.6429
1991-1992,24.4737,31.2256
1992-1993,30.6488,31.2354
1993-1994,31.3655,31.3725
1994-1995,31.3986,31.495
1995-1996,33.4498,34.35
1996-1997,35.4999,35.915
1997-1998,37.1648,39.495
1998-1999,42.0706,42.435
1999-2000,43.3327,43.605
2000-2001,45.6844,46.64
2001-2002,47.6919,48.8
2002-2003,48.3953,47.505
2003-2004,45.9516,43.445
2004-2005,44.9315,43.755
2005-2006,44.2735,44.605
2006-2007,45.2495,43.595
2007-2008,40.2607,39.985
2008-2009,45.9933,50.945
2009-2010,47.4433,45.135
2010-2011,45.5626,44.645
2011-2012,47.9229,51.16
2012-2013,54.4099,54.3893
2013-2014,60.5019,60.0998
2014-2015,61.1436,62.5908
2015-2016,65.4685,66.3329
2016-2017,67.072,64.8386
2017-2018,64.4549,65.0441
2018-2019,69.9229,69.1713
2019-2020,70.897,75.3859
2020-2021,74.225,73.5047
2021-2022,74.5039,75.8071
2022-2023,80.3635,82.2169
2023-2024,82.7897,83.3739
2024-2025,84.569772,85.5814
2025-2026,88.307136,94.6543
