financial_year,calendar_year,month,month_name,export_usd_mn,import_usd_mn
2010-2011,2010,4,April,18063.14,31674.81
2010-2011,2010,5,May,35348.00,61421.71
2010-2011,2010,6,June,56015.77,90070.17
2010-2011,2010,7,July,72971.82,119740.60
2010-2011,2010,8,August,90755.33,146848.29
2010-2011,2010,9,September,109621.70,176360.02
2010-2011,2010,10,October,128611.96,208821.75
2010-2011,2010,11,November,150110.50,237664.01
2010-2011,2010,12,December,173459.60,269175.17
2010-2011,2011,1,January,196151.24,302528.77
2010-2011,2011,2,February,219394.63,335502.11
2010-2011,2011,3,March,249814.48,369769.14
2011-2012,2011,4,April,23394.30,36595.07
2011-2012,2011,5,May,49917.41,81849.78
2011-2012,2011,6,June,76453.80,122699.24
2011-2012,2011,7,July,102884.27,163805.44
2011-2012,2011,8,August,127685.35,203790.13
2011-2012,2011,9,September,154247.01,243546.21
2011-2012,2011,10,October,177880.08,284721.24
2011-2012,2011,11,November,201184.82,323823.75
2011-2012,2011,12,December,226550.52,363867.82
2011-2012,2012,1,January,251929.53,406820.27
2011-2012,2012,2,February,277123.95,446938.82
2011-2012,2012,3,March,305963.28,489319.54
2012-2013,2012,4,April,23785.22,38170.99
2012-2013,2012,5,May,48604.65,80358.34
2012-2013,2012,6,June,73514.73,116514.96
2012-2013,2012,7,July,96601.89,157134.09
2012-2013,2012,8,August,119725.08,194441.38
2012-2013,2012,9,September,144607.48,236493.69
2012-2013,2012,10,October,168622.15,280737.50
2012-2013,2012,11,November,191864.04,321191.45
2012-2013,2012,12,December,217298.29,364242.18
2012-2013,2013,1,January,243190.05,408996.90
2012-2013,2013,2,February,269858.80,449788.93
2012-2013,2013,3,March,300400.01,490736.67
2013-2014,2013,4,April,24483.79,41576.27
2013-2014,2013,5,May,49434.33,85563.56
2013-2014,2013,6,June,73432.09,120867.91
2013-2014,2013,7,July,99262.73,159194.07
2013-2014,2013,8,August,125615.54,196219.71
2013-2014,2013,9,September,153751.26,230477.85
2013-2014,2013,10,October,181231.29,268552.78
2013-2014,2013,11,November,205434.00,302325.60
2013-2014,2013,12,December,231827.97,338905.60
2013-2014,2014,1,January,258719.57,375252.47
2013-2014,2014,2,February,284062.29,408904.18
2013-2014,2014,3,March,314403.26,450199.29
2014-2015,2014,4,April,26021.49,35795.27
2014-2015,2014,5,May,54009.28,74746.57
2014-2015,2014,6,June,79905.12,113098.94
2014-2015,2014,7,July,105689.81,153206.96
2014-2015,2014,8,August,132527.51,190678.96
2014-2015,2014,9,September,161394.70,234020.68
2014-2015,2014,10,October,187285.42,273489.53
2014-2015,2014,11,November,213770.79,316212.03
2014-2015,2014,12,December,239927.40,351545.26
2014-2015,2015,1,January,264320.89,383810.46
2014-2015,2015,2,February,286304.40,412535.81
2014-2015,2015,3,March,310338.32,447964.58
2015-2016,2015,4,April,22096.66,33506.45
2015-2016,2015,5,May,44586.80,66344.27
2015-2016,2015,6,June,66874.28,99880.50
2015-2016,2015,7,July,90066.04,136252.51
2015-2016,2015,8,August,111850.60,170234.27
2015-2016,2015,9,September,133722.60,202270.73
2015-2016,2015,10,October,155178.55,233419.06
2015-2016,2015,11,November,174739.54,263315.47
2015-2016,2015,12,December,197332.65,297411.91
2015-2016,2016,1,January,218531.66,326278.50
2015-2016,2016,2,February,239374.85,353697.41
2015-2016,2016,3,March,262281.74,381007.77
2016-2017,2016,4,April,20705.34,25689.16
2016-2017,2016,5,May,43012.53,53975.41
2016-2017,2016,6,June,65513.54,84892.41
2016-2017,2016,7,July,87098.79,114197.67
2016-2017,2016,8,August,108539.75,143500.73
2016-2017,2016,9,September,131128.29,175341.31
2016-2017,2016,10,October,154337.53,209836.46
2016-2017,2016,11,November,174295.14,243298.30
2016-2017,2016,12,December,198148.86,277900.73
2016-2017,2017,1,January,220498.33,310161.84
2016-2017,2017,2,February,245218.09,344410.28
2016-2017,2017,3,March,274480.28,384356.86
2017-2018,2017,4,April,24526.23,38834.65
2017-2018,2017,5,May,48507.43,77113.32
2017-2018,2017,6,June,71507.49,114168.24
2017-2018,2017,7,July,93797.17,148383.35
2017-2018,2017,8,August,117148.28,184453.70
2017-2018,2017,9,September,145714.05,222416.68
2017-2018,2017,10,October,168602.52,259918.04
2017-2018,2017,11,November,194895.19,301307.68
2017-2018,2017,12,December,222727.52,343338.53
