financial_year,export_usd_mn,import_usd_mn,trade_balance_usd_mn,export_yoy_pct,import_yoy_pct,data_status
2010-2011,249814.48,369769.14,-119954.66,,,annual
2011-2012,305963.28,489319.54,-183356.26,22.48,32.33,annual
2012-2013,300400.01,490736.67,-190336.66,-1.82,0.29,annual
2013-2014,314403.26,450199.29,-135796.03,4.66,-8.26,annual
2014-2015,310338.32,447964.58,-137626.26,-1.29,-0.5,annual
2015-2016,262281.74,381007.77,-118726.03,-15.49,-14.95,annual
2016-2017,274480.28,384356.86,-109876.58,4.65,0.88,annual
2017-2018,303484.47,465580.29,-162095.82,10.57,21.13,annual
2018-2019,330077.75,514078.4,-184000.65,8.76,10.42,annual
2019-2020,313354.03,474709.33,-161355.3,-5.07,-7.66,annual
2020-2021,291806.69,394435.95,-102629.26,-6.88,-16.91,annual
2021-2022,422003.11,613051.5,-191048.39,44.62,55.42,annual
2022-2023,451065.07,715968.86,-264903.79,6.89,16.79,annual
2023-2024,437111.44,675429.83,-238318.39,-3.09,-5.66,annual
2024-2025,437666,721200.07,-283534.07,0.13,6.78,annual
2025-2026,441705.46,774977.93,-333272.47,0.92,7.46,annual
