hscode,hsdesc,latest_import_usd_mn,growth_5yr_pct,export_offset_usd_mn,export_coverage_pct,dependence_score
7106,SILVR(INCLD SLVR PLTD WTH GOLD/PLTNM)     UNWRGHT/IN SEMI MNFCTRD FORM/IN PWDR FORM,12050.81,267.83,49.69,0.41,97.12
8802,"OTHR AIRCRAFT EXCEPT UNMANNED AIRCRAFT OF 8806(eg HELICOPTER, AEROPLANE)SPACECRAFT (INCL SATELLITE) AND SUBORBITAL AND SPACE",12834.59,175.50,75.00,0.58,96.17
2843,COLLOIDL PRECIOUS METALS;INORGNC/ORGNC    CMPNDS OF PRECIOUS METALS W/N CHMCLY      DEFINED AMALGAMS OF PRECIOUS METAL,5595.68,207.18,36.29,0.65,95.75
8542,ELCTRNC INTEGRTD CIRCUITS AND MICRO,30322.88,122.38,279.68,0.92,94.94
2603,COPPER ORES AND CONCERTRATES,5940.81,97.46,39.63,0.67,92.78
8507,"ELCTRC ACCUMLTRS,INCL SEPARATORS          THEREFOR W/N RECTANGULAR(INCL SQ)",5623.90,144.34,713.51,12.69,90.91
7114,ARTCLS OF GOLDSMTHS/SLVRSMTHS WARES AND   PRTS OF PRCS MTL/MTL CLD WTH PRCS MTL,1365.53,40160.18,20.59,1.51,90.78
7218,STAINLESS STEEL IN INGOTS OR OTHER PRIMARY FORMS; SEMI,1399.04,2466.37,38.51,2.75,90.30
7007,SAFTY GLSS CONSTNG OF TOUGHND/LMNTD GLSS,1504.02,615.03,62.70,4.17,90.07
7404,COPPER WASTE AND SCRAP,3429.19,115.71,318.46,9.29,89.47
7108,GOLD(INCL GOLD PLTD WTH PLTNM)UNWROUGHT   OR IN SEMI MNFCTRD FORMS/IN PWDR FORM,71977.29,55.91,242.55,0.34,89.37
8486,"MACHINES AND APPARATUS OF A KIND USED     SOLELY FOR THE MANUFACTURE OF             SEMICONDUCTOR BOULES OR WAFERS, DEVI",1386.25,852.08,80.50,5.81,89.27
8447,"KNTNG MCHNS,STCH",930.45,162.96,4.67,0.50,86.20
5201,"COTTON, NOT CARDED OR COMBED",1856.75,244.38,436.37,23.50,86.17
3105,"MNRL/CHMCL FRTLSRS WTH TWO/THREE OF THE   FRTLSNG ELMNTS N,P AND K; OTHR FRTLSRS SMLR GOODS IN TBLTS/LIKE FRM IN PKT OF",7012.08,41.74,24.72,0.35,86.05
8446,WEAVING MACHINES (LOOMS),1087.91,136.13,40.60,3.73,85.26
