id,group,size,trajectory,feasibility,horizon,confidence,status,brief_path,author
01,electronics,5,5,3,2,4,published,opportunities/01-electronics-value-add.md,chandn0
02,precious-metals,5,4,2,4,3,published,opportunities/02-gold-import-dynamics.md,chandn0
03,energy,5,3,2,2,4,published,opportunities/03-crude-oil-sensitivity.md,chandn0
04,export-growth,5,5,3,2,3,published,opportunities/04-export-plateau-breakout.md,chandn0
05,electronics,4,5,2,1,4,published,opportunities/05-semiconductor-import-exposure.md,chandn0
06,electronics,4,4,3,2,3,tbd,opportunities/06-electronics-components-vs-finished-goods.md,
07,energy,3,4,3,2,3,tbd,opportunities/07-solar-and-battery-supply-chain.md,
08,energy,5,3,3,2,4,published,opportunities/08-energy-import-substitution.md,chandn0
09,traditional-exports,3,4,3,3,3,tbd,opportunities/09-traditional-export-revival.md,
10,traditional-exports,3,4,3,3,4,tbd,opportunities/10-textiles-why-india-lost-share.md,
11,traditional-exports,3,4,2,3,4,tbd,opportunities/11-diamond-and-gems-decline.md,
12,export-growth,3,2,4,3,4,tbd,opportunities/12-pharma-export-resilience.md,
13,export-growth,3,2,4,3,4,tbd,opportunities/13-chemicals-export-opportunity.md,
14,export-growth,3,3,3,3,3,tbd,opportunities/14-auto-components-export-upgrade.md,
15,strategic,4,4,3,2,3,tbd,opportunities/15-defence-and-aerospace-imports.md,
16,export-growth,2,3,2,4,4,tbd,opportunities/16-rice-and-agri-export-constraints.md,
17,enablers,3,3,3,3,3,tbd,opportunities/17-fta-market-access-opportunities.md,
18,enablers,3,2,4,3,3,tbd,opportunities/18-logistics-cost-and-export-competitiveness.md,
19,precious-metals,4,4,2,4,3,tbd,opportunities/19-gold-demand-and-financialization.md,
20,context,0,0,0,0,0,tbd,opportunities/20-external-balance-context.md,
21,enablers,3,2,3,4,3,tbd,opportunities/21-input-tariff-rationalization.md,
22,export-growth,2,4,3,3,2,tbd,opportunities/22-repair-refurbishment-recycling-hub.md,
23,export-growth,4,3,4,3,4,tbd,opportunities/23-engineering-goods-export-acceleration.md,
24,strategic,4,3,2,2,4,published,opportunities/24-edible-oils-import-dependence.md,chandn0
