country,hs2,hs2_desc,export_usd_mn,import_usd_mn,net_usd_mn,share_of_bilateral_deficit_pct,fiscal_year
CHINA P RP,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",3178.29,46367.46,-43189.17,41.793,2025-2026
CHINA P RP,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",1263.12,29450.97,-28187.85,27.277,2025-2026
CHINA P RP,29,ORGANIC CHEMICALS,1343.03,11521.52,-10178.49,9.850,2025-2026
CHINA P RP,39,PLASTIC AND ARTICLES THEREOF.,0.00,6711.48,-6711.48,6.495,2025-2026
CHINA P RP,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",0.00,2869.28,-2869.28,2.777,2025-2026
CHINA P RP,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0.00,2752.64,-2752.64,2.664,2025-2026
CHINA P RP,76,ALUMINIUM AND ARTICLES THEREOF.,0.00,2581.13,-2581.13,2.498,2025-2026
CHINA P RP,73,ARTICLES OF IRON OR STEEL,0.00,2504.74,-2504.74,2.424,2025-2026
CHINA P RP,31,FERTILISERS.,0.00,2336.70,-2336.70,2.261,2025-2026
CHINA P RP,38,MISCELLANEOUS CHEMICAL PRODUCTS.,0.00,2028.63,-2028.63,1.963,2025-2026
CHINA P RP,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,494.10,0.00,494.10,0.000,2025-2026
CHINA P RP,74,COPPER AND ARTICLES THEREOF.,760.73,0.00,760.73,0.000,2025-2026
CHINA P RP,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,769.35,0.00,769.35,0.000,2025-2026
CHINA P RP,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",874.27,0.00,874.27,0.000,2025-2026
CHINA P RP,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1374.97,0.00,1374.97,0.000,2025-2026
CHINA P RP,26,"ORES, SLAG AND ASH.",1796.72,0.00,1796.72,0.000,2025-2026
CHINA P RP,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2462.26,0.00,2462.26,0.000,2025-2026
U S A,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",3522.24,17315.21,-13792.97,57.934,2025-2026
U S A,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0.00,2261.43,-2261.43,9.499,2025-2026
U S A,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.00,1909.80,-1909.80,8.022,2025-2026
U S A,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",5116.68,6848.83,-1732.15,7.276,2025-2026
U S A,39,PLASTIC AND ARTICLES THEREOF.,0.00,1438.53,-1438.53,6.042,2025-2026
U S A,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.00,1426.25,-1426.25,5.991,2025-2026
U S A,38,MISCELLANEOUS CHEMICAL PRODUCTS.,0.00,1246.74,-1246.74,5.237,2025-2026
U S A,29,ORGANIC CHEMICALS,2679.95,1756.64,923.31,0.000,2025-2026
