hscode,hsdesc,export_usd_mn,import_usd_mn,net_usd_mn,share_of_total_deficit_pct
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",0.00,134716.78,-134716.78,23.603
7108,GOLD(INCL GOLD PLTD WTH PLTNM)UNWROUGHT   OR IN SEMI MNFCTRD FORMS/IN PWDR FORM,242.55,71977.29,-71734.73,12.568
8542,ELCTRNC INTEGRTD CIRCUITS AND MICRO,279.68,30322.88,-30043.20,5.264
2701,COAL BRIQUETTES OVOIDS AND SIMILAR          SOLID FUELS MANUFACTURED FROM COAL,178.32,26729.10,-26550.79,4.652
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,393.30,26633.66,-26240.36,4.597
8802,"OTHR AIRCRAFT EXCEPT UNMANNED AIRCRAFT OF 8806(eg HELICOPTER, AEROPLANE)SPACECRAFT (INCL SATELLITE) AND SUBORBITAL AND SPACE",75.00,12834.59,-12759.60,2.236
8471,AUTOMATIC DATA PROCESSING MACHINES AND    UNITS,1074.61,13707.02,-12632.41,2.213
7106,SILVR(INCLD SLVR PLTD WTH GOLD/PLTNM)     UNWRGHT/IN SEMI MNFCTRD FORM/IN PWDR FORM,49.69,12050.81,-12001.12,2.103
1511,"PALM OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",49.30,9591.60,-9542.30,1.672
3105,"MNRL/CHMCL FRTLSRS WTH TWO/THREE OF THE   FRTLSNG ELMNTS N,P AND K; OTHR FRTLSRS SMLR GOODS IN TBLTS/LIKE FRM IN PKT OF",24.72,7012.08,-6987.36,1.224
1507,SOYA BEAN OIL AND ITS FRACTNS W/N REFIND    BUT NOT CHEMICALLY MODIFIED,44.93,6207.78,-6162.86,1.080
2603,COPPER ORES AND CONCERTRATES,39.63,5940.81,-5901.18,1.034
2843,COLLOIDL PRECIOUS METALS;INORGNC/ORGNC    CMPNDS OF PRECIOUS METALS W/N CHMCLY      DEFINED AMALGAMS OF PRECIOUS METAL,36.29,5595.68,-5559.40,0.974
3102,"MINERAL OR CHEMICAL FERTILISERS,          NITROGENOUS",28.77,5564.52,-5535.76,0.970
8524,"*RECORDS,TAPES & OTHR RECORDED MEDIA       FOR SOUND/OTHR SMLRLY RECORDED PHENOMENA  BUT EXCL PRDCTS OF CHAPTER 37",292.46,5594.17,-5301.71,0.929
8541,"SEMCOND DVS[SCD]( DIOD,TRNSTR,TRNSDCER); P SENST [SCD],P VOLT IF WITH MDL/ OF PNEL, LED,IF WITH LED;MTD PIEZO",1206.13,6154.48,-4948.35,0.867
8507,"ELCTRC ACCUMLTRS,INCL SEPARATORS          THEREFOR W/N RECTANGULAR(INCL SQ)",713.51,5623.90,-4910.39,0.860
7204,FERROUS WASTE AND SCRAP; REMELTING SCRAP  INGOTS,21.99,4558.72,-4536.73,0.795
7602,ALUMINIUM WASTE AND SCRAP,53.80,4551.38,-4497.58,0.788
7102,"DIAMONDS, WHETHER OR NOT WORKED, BUT NOT  MOUNTED OR SET",12444.30,16408.69,-3964.39,0.695
8473,"PARTS AND ACCESSORIES OTH THN COVERS, CARRYING CASES)SUITABLE FOR USE SOLELY /PRINCIPALLY WITH MACHINES OF HDG 8470 TO 8472",524.02,4025.94,-3501.92,0.614
1512,"SUNFLOWER SEED, SAFFLOWER OR COTTON SEED  OIL AND THEIR FRACTIONS THEREOF, WHETHER  OR NOT REFINED, BUT NOT CHEMICALLY M",116.54,3324.78,-3208.25,0.562
7404,COPPER WASTE AND SCRAP,318.46,3429.19,-3110.73,0.545
3901,POLYMERS OF ETHYLENE IN PRIMARY FORMS,434.68,3517.73,-3083.05,0.540
8479,"MCHNS AND MCHNCL APPLNCS HVNG INDVDL        FUNCTNS,N.E.S.",1320.11,4131.91,-2811.80,0.493
2713,PETROLM COKE PETROLM BITUMN AND OTHR RESDUS OF PETRLM OILS/OILS OBTND FRM BITMNS MNRLS,325.94,3114.14,-2788.20,0.489
2809,"DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID; POLYPHOSPHORIC ACIDS, WHETHER OR NOT      CHEMICALLY DEFINED",13.93,2681.08,-2667.15,0.467
